confession_code,confession_libelle,date_creation,date_derniere_modification
INC,Appartenance religieuse inconnue,2025-01-01 00:00:00,2025-01-01 00:00:00
RF,Réformée (évangélique),2025-01-01 00:00:00,2025-01-01 00:00:00
SANS,Sans appartenance religieuse,2025-01-01 00:00:00,2025-01-01 00:00:00
JUI,Communauté juive,2025-01-01 00:00:00,2025-01-01 00:00:00
CATH,Catholique,2025-01-01 00:00:00,2025-01-01 00:00:00
CHR,Autre communauté chrétienne,2025-01-01 00:00:00,2025-01-01 00:00:00
TJ,Témoin de Jéhovah,2025-01-01 00:00:00,2025-01-01 00:00:00
AUT,Autre communauté religieuse,2025-01-01 00:00:00,2025-01-01 00:00:00
PROT,Protestant,2025-01-01 00:00:00,2025-01-01 00:00:00
MORM,Mormon,2025-01-01 00:00:00,2025-01-01 00:00:00
MUS,Musulman,2025-01-01 00:00:00,2025-01-01 00:00:00
